PDT,SUM of Delta Units,SUM of Delta Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDT,SUM of Delta Units,SUM of Delta Revenue,,#REF!,,,,Customer,SUM of Delta Units,SUM of Delta Revenue,,,,PDT,SUM of Delta Units,SUM of Delta Revenue
Charger,"-348,379.02","-7,777,609",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Battery,"-44,098","-1,971,001",,,,,,BBY,"27,673","$1,579,390",,,,Charger,"-348,379.02","-7,777,609"
Essential,"-359,245.28","-7,270,922",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charger,"-348,379","-7,777,609",,,,,,TGT,"18,603","$676,100",,,,Essential,"-359,245.28","-7,270,922"
Battery,"-44,097.59","-$1,971,001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data New Accessories,-326,"-4,005",,,,,,AT&T,"5,000","$137,500",,,,Battery,"-44,097.59","-$1,971,001"
Wireless,"-28,683.52","-$538,511",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Essential,"-359,245","-7,270,922",,,,,,"Cesium Telecom, Inc.（US）","1,736","$46,499",,,,Wireless,"-28,683.52","-$538,511"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wireless,"-28,684","-538,511",,,,,,SYNNEX,840,"$18,472",,,,Data New Accessories,-325.93,"-$4,005"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grand Total,"-780,731","-17,562,047",,,,,,MicroCenter,105,"$2,800",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grand Total,"53,957","$2,460,761",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,,,Customer,SUM of Delta Units,SUM of Delta Revenue,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WM,0,$0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C2 Wireless,0,$0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TGT,0,$0,,,,,,
Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BBY,0,$0,,,,,,
SUM of Delta Units,Quarter,Week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYNNEX,0,$0,,,,,,
,Q3 2025,,,,Q4 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dancom Malaysia,0,$0,,,,,,
PDT,202536,202537,202538,202539,202540,202541,202542,202543,202544,202545,202546,202547,202548,202549,202550,202551,202552,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grand Total,0,$0,,,,,,
Battery,-418,-1116.970074,-1069.060138,-1612.229985,-4338.437294,-1456.61036,-7530.482195,-962.5308965,-1284.399961,-10471.05798,-2567.500083,-1481.640187,-3021.574865,-4749.220017,-528.3898235,-231.5699824,-1257.91581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charger,,-480.4019207,-115082.6542,-1445.716234,-2094.298407,-27252.22273,-1708.114712,-3005.052629,-34202.31487,-5299.320433,-9794.690435,-74150.81044,-9305.069094,-42150.76,-9909.870435,-7242.18,-5255.539257,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,,,Customer,SUM of Delta Units,SUM of Delta Revenue,,,,,,
Data New Accessories,,,,-96,-81.20596539,-72.30907082,-76.20596539,-0.205965386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WM,0,$0,,,,,,
Essential,-3809,-8642.141879,-11273.79891,-12099.57181,-32782.38557,-7292.753106,-11253.12133,-106836.2853,-8754.444996,-24821.25003,-8483.795486,-49971.81989,-10930.84479,-41500.72951,-4660.090524,-5963.543745,-10169.70014,,,,,,,,,,,,,,,,,,,,,,,,,,,,TGT,0,$0,,,,,,
Wireless,-2.875,-147.1882543,-403.7623005,-283.1944518,-256.5957289,-283.7230912,-469.8686449,-24548.48074,-190.8703306,-456.6985165,-251.9298595,-179.0692895,-263.59848,-324.5306141,-226.7197624,-192.3603925,-202.0594218,,,,,,,,,,,,,,,,,,,,,,,,,,,,BBY,0,$0,,,,,,
Grand Total,-4229.875,-10386.70213,-127829.2755,-15536.71248,-39552.92296,-36357.61836,-21037.79284,-135352.5555,-44432.03016,-41048.32696,-21097.91586,-125783.3398,-23521.08723,-88725.24014,-15325.07054,-13629.65412,-16885.21463,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verizon Wireless,0,$0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUM of Delta Revenue,Quarter,Week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q3 2025,,,,Q4 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDT,202536,202537,202538,202539,202540,202541,202542,202543,202544,202545,202546,202547,202548,202549,202550,202551,202552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battery,"-$9,191.82","-$57,045.98","-$63,841.53","-$92,225.75","-$210,577.34","-$79,170.10","-$242,556.32","-$62,936.76","-$70,596.91","-$359,273.76","-$130,994.68","-$79,301.54","-$136,359.21","-$236,247.30","-$53,421.10","-$22,959.55","-$64,301.75",,,,,,,,,,,,,,,,,,,,,,,,C2 Wireless,SUM of Delta Units,SUM of Delta Revenue,,Customer,SUM of Delta Units,SUM of Delta Revenue,,,,,,
Charger,,"-$7,238.17","-$3,031,886.58","-$31,637.84","-$42,270.52","-$711,734.15","-$37,265.67","-$67,877.87","-$767,905.15","-$74,523.84","-$56,144.54","-$1,742,278.78","-$69,348.65","-$947,638.64","-$93,495.41","-$53,804.67","-$42,558.34",,,,,,,,,,,,,,,,,,,,,,,,COSTCO,"-76,000","-$2,765,640",,Apple AU,-403.72,"-10,796",,,,,,
Data New Accessories,,,,"-$1,160.64",-$996.07,-$895.66,-$935.62,-$16.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BBY,"-73,908","-$1,700,054",,Apple CN,-379.35,"-7,888",,,,,,
Essential,"-$30,398.00","-$140,379.61","-$165,285.82","-$218,059.83","-$889,252.52","-$126,094.73","-$202,000.67","-$1,498,608.55","-$159,936.59","-$506,919.88","-$206,349.78","-$1,751,328.47","-$225,416.30","-$720,079.19","-$124,176.58","-$118,408.89","-$188,226.55",,,,,,,,,,,,,,,,,,,,,,,,TGT,"-91,810","-$1,416,684",,Apple HK,-304.60,"-$8,340",,,,,,
Wireless,-$140.30,"-$4,426.55","-$10,255.82","-$11,022.83","-$9,219.45","-$10,799.77","-$19,235.44","-$399,271.45","-$5,721.21","-$16,812.97","-$7,936.34","-$5,537.89","-$8,439.71","-$7,971.61","-$7,171.19","-$6,996.95","-$7,551.03",,,,,,,,,,,,,,,,,,,,,,,,WM,"-114,941","-$1,349,297",,Apple JP,-485.55,"-$14,180",,,,,,
Grand Total,"-$39,730.12","-$209,090.31","-$3,271,269.75","-$354,106.89","-$1,152,315.90","-$928,694.41","-$501,993.72","-$2,028,711.41","-$1,004,159.86","-$957,530.45","-$401,425.34","-$3,578,446.68","-$439,563.87","-$1,911,936.74","-$278,264.28","-$202,170.06","-$302,637.67",,,,,,,,,,,,,,,,,,,,,,,,Verizon Wireless,"-1,954","-$32,597",,Apple Korea,-162.17,"-$3,941",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYNNEX,-450,"-$3,708",,AT&T,"-51,515","-$474,272",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VoiceComm,-80,"-$1,428",,BBY,"-110,742","-$3,092,551",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Love's,-80,"-$1,271",,C2 Wireless,"-13,000","-$273,000",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lynco Distribution, Inc",-22,-$242,,CMS(Apple) APAC,-380,"-$12,095",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grand Total,"-359,245.28","-$7,270,921.96",,CMS(Apple) EMEA,"-3,497.04","-$93,439.00",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COSTCO,"-326,000.00","-$9,438,140.00",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dancom Malaysia,-494.00,"-$15,624.80",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Koan Company Ltd.,-150.00,"-$1,800.00",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Love's,-400.00,"-$4,637.60",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lynco Distribution, Inc",-22.00,-$242.00,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Superior Communications,"-1,003.00","-$55,910.65",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYNNEX,-458.00,"-$4,204.24",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TGT,"-119,326.00","-$2,151,744.71",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verizon Wireless,"-2,954.00","-$48,597.20",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VoiceComm,-80.00,"-$1,428.00",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WM,"-148,975.00","-$1,849,216.72",,,,,,