Week,SUM of Delta Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Week,SUM of Delta Units,SUM of Delta Revenue
202536,"-4,230",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202536,-4229.875,"-$39,730.12"
202537,"-10,387",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202537,-10386.70213,"-$209,090.31"
202538,"-127,829",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202538,-127829.2755,"-$3,271,269.75"
202539,"-15,537",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202539,-15536.71248,"-$354,106.89"
202540,"-39,553",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202540,-39552.92296,"-$1,152,315.90"
202541,"-36,358",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202541,-36357.61836,"-$928,694.41"
202542,"-21,038",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202542,-21037.79284,"-$501,993.72"
202543,"-135,353",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202543,-135352.5555,"-$2,028,711.41"
202544,"-44,432",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202544,-44432.03016,"-$1,004,159.86"
202545,"-41,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202545,-41048.32696,"-$957,530.45"
202546,"-21,098",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202546,-21097.91586,"-$401,425.34"
202547,"-125,783",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202547,-125783.3398,"-$3,578,446.68"
202548,"-23,521",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202548,-23521.08723,"-$439,563.87"
202549,"-88,725",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202549,-88725.24014,"-$1,911,936.74"
202550,"-15,325",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202550,-15325.07054,"-$278,264.28"
202551,"-13,630",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202551,-13629.65412,"-$202,170.06"
202552,"-16,885",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202552,-16885.21463,"-$302,637.67"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grand Total,-780731.3342,"-$17,562,047.46"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKU's / Week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COUNTA of Gap Flag,Quarter,Week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q3 2025,,,,Q4 2025,,,,,,,,,,,,,Grand Total,,,,,,,,,,,,,,,,,,,,,,
Customer,202536,202537,202538,202539,202540,202541,202542,202543,202544,202545,202546,202547,202548,202549,202550,202551,202552,,,,,,,,,,,,,,,,,,,,,,,
Apple AU,,,2,,,,10,10,,10,,,10,,,,10,52,,,,,,,,,,,,,,,,,,,,,,
Apple CN,,,,,,,6,6,,6,,,6,,,,6,30,,,,,,,,,,,,,,,,,,,,,,
Apple HK,,,,,1,,10,10,,10,,,10,,,,10,51,,,,,,,,,,,,,,,,,,,,,,
Apple JP,1,,,,,5,10,10,,10,,,10,,,,10,56,,,,,,,,,,,,,,,,,,,,,,
Apple Korea,,,,,,,10,10,,10,,,10,,,,10,50,,,,,,,,,,,,,,,,,,,,,,
AT&T,,,,,,,1,,,1,1,1,1,1,1,1,1,9,,,,,,,,,,,,,,,,,,,,,,
BBY,,11,11,13,39,35,35,34,9,13,13,13,12,10,10,12,11,281,,,,,,,,,,,,,,,,,,,,,,
C2 Wireless,,,1,,,,,1,,,,1,,,1,,,4,,,,,,,,,,,,,,,,,,,,,,
CMS(Apple) APAC,,14,,4,,16,16,1,16,,,16,,,,16,,99,,,,,,,,,,,,,,,,,,,,,,
CMS(Apple) EMEA,,1,4,2,,2,16,16,,16,,,16,,,,16,89,,,,,,,,,,,,,,,,,,,,,,
COSTCO,,,1,,1,1,,1,1,,,2,,1,,,,8,,,,,,,,,,,,,,,,,,,,,,
Dancom Malaysia,,2,1,,,,,,,1,2,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,
Koan Company Ltd.,,1,,,,,1,,,1,,,,,1,,,4,,,,,,,,,,,,,,,,,,,,,,
Love's,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,32,,,,,,,,,,,,,,,,,,,,,,
"Lynco Distribution, Inc",,,,,,1,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
Superior Communications,,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,21,,,,,,,,,,,,,,,,,,,,,,
SYNNEX,,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,,19,,,,,,,,,,,,,,,,,,,,,,
TGT,3,4,5,10,10,11,11,7,8,9,,,7,7,,,6,98,,,,,,,,,,,,,,,,,,,,,,
Verizon Wireless,,3,2,2,2,1,2,2,2,2,2,2,1,2,1,3,2,31,,,,,,,,,,,,,,,,,,,,,,
VoiceComm,,,,,,,,,1,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,
WM,,1,6,3,2,1,2,6,2,,,,,1,,1,2,27,,,,,,,,,,,,,,,,,,,,,,
Grand Total,4,41,37,40,60,78,136,120,43,93,22,40,87,27,18,38,87,971,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REVENUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUM of Delta Revenue,Quarter,Week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q3 2025,,,,Q4 2025,,,,,,,,,,,,,Grand Total,,,,,,,,,,,,,,,,,,,,,,
Customer,202536,202537,202538,202539,202540,202541,202542,202543,202544,202545,202546,202547,202548,202549,202550,202551,202552,,,,,,,,,,,,,,,,,,,,,,,
Apple AU,,,-$795.60,,,,"-$4,245.30",-$283.02,,"-$2,830.20",,,"-$1,698.12",,,,-$943.40,"-$10,795.64",,,,,,,,,,,,,,,,,,,,,,
Apple CN,,,,,,,"-$4,355.94",-$211.31,,"-$1,717.71",,,"-$1,030.63",,,,-$572.56,"-$7,888.15",,,,,,,,,,,,,,,,,,,,,,
Apple HK,,,,,-$129.32,,"-$4,249.71",-$223.34,,"-$1,933.50",,,"-$1,160.10",,,,-$644.50,"-$8,340.47",,,,,,,,,,,,,,,,,,,,,,
Apple JP,-$140.30,,,,,"-$1,820.00","-$5,187.60",-$345.84,,"-$3,458.40",,,"-$2,075.04",,,,"-$1,152.80","-$14,179.98",,,,,,,,,,,,,,,,,,,,,,
Apple Korea,,,,,,,"-$1,672.95",-$111.54,,"-$1,115.31",,,-$669.18,,,,-$371.74,"-$3,940.72",,,,,,,,,,,,,,,,,,,,,,
AT&T,,,,,,,"-$137,500.00",,,"-$137,500.00","-$40,473.60","-$42,936.00","-$29,827.20","-$18,792.00","-$28,286.40","-$24,374.40","-$14,582.40","-$474,272.00",,,,,,,,,,,,,,,,,,,,,,
BBY,,"-$147,847.12","-$110,495.31","-$152,208.57","-$440,131.05","-$141,424.83","-$155,716.37","-$124,880.67","-$104,151.63","-$214,065.23","-$346,696.59","-$206,380.21","-$215,965.16","-$310,043.27","-$201,137.38","-$105,242.11","-$116,165.28","-$3,092,550.78",,,,,,,,,,,,,,,,,,,,,,
C2 Wireless,,,"-$105,000.00",,,,,"-$42,000.00",,,,"-$84,000.00",,,"-$42,000.00",,,"-$273,000.00",,,,,,,,,,,,,,,,,,,,,,
CMS(Apple) APAC,,"-$3,038.86",,"-$4,652.00",,"-$1,360.17",-$90.67,"-$1,200.00",-$906.78,,,-$544.06,,,,-$302.26,,"-$12,094.80",,,,,,,,,,,,,,,,,,,,,,
CMS(Apple) EMEA,,-$352.37,-$726.48,-$383.65,,"-$2,560.99","-$36,925.82","-$2,910.28",,"-$24,034.30",,,"-$16,182.46",,,,"-$9,362.65","-$93,439.00",,,,,,,,,,,,,,,,,,,,,,
COSTCO,,,"-$2,886,523.50",,"-$582,240.00","-$667,250.00",,"-$545,850.00","-$667,250.00",,,"-$3,238,950.00",,"-$850,076.50",,,,"-$9,438,140.00",,,,,,,,,,,,,,,,,,,,,,
Dancom Malaysia,,"-$1,076.00","-$2,342.40",,,,,,,"-$1,900.00","-$10,306.40",,,,,,,"-$15,624.80",,,,,,,,,,,,,,,,,,,,,,
Koan Company Ltd.,,-$720.00,,,,,-$360.00,,,-$360.00,,,,,-$360.00,,,"-$1,800.00",,,,,,,,,,,,,,,,,,,,,,
Love's,,-$289.85,-$289.85,-$289.85,-$289.85,-$289.85,-$289.85,-$289.85,-$289.85,-$289.85,-$289.85,-$289.85,-$289.85,-$289.85,-$289.85,-$289.85,-$289.85,"-$4,637.60",,,,,,,,,,,,,,,,,,,,,,
"Lynco Distribution, Inc",,,,,,-$121.00,-$121.00,,,,,,,,,,,-$242.00,,,,,,,,,,,,,,,,,,,,,,
Superior Communications,,"-$1,974.60","-$3,438.75","-$4,756.15","-$3,810.50","-$3,682.65","-$3,458.55","-$3,159.40","-$3,108.25","-$6,415.10","-$1,240.70","-$3,122.50","-$1,571.75","-$2,618.80","-$4,413.45","-$5,229.75","-$3,909.75","-$55,910.65",,,,,,,,,,,,,,,,,,,,,,
SYNNEX,,-$247.20,-$247.20,-$371.26,-$247.20,-$247.20,-$247.20,-$371.26,-$247.20,-$247.20,-$247.20,-$371.26,-$247.20,-$247.20,-$247.20,-$371.26,,"-$4,204.24",,,,,,,,,,,,,,,,,,,,,,
TGT,"-$39,589.82","-$47,045.51","-$42,183.77","-$113,792.17","-$42,401.43","-$75,328.32","-$73,090.07","-$115,238.11","-$110,209.16","-$558,807.45",,,"-$167,912.18","-$683,034.89",,,"-$83,111.83","-$2,151,744.71",,,,,,,,,,,,,,,,,,,,,,
Verizon Wireless,,"-$2,340.80","-$2,124.00","-$2,030.60","-$2,408.40",-$935.00,"-$1,841.40","-$1,757.20","-$3,477.40","-$2,856.20","-$2,171.00","-$1,852.80",-$935.00,"-$2,095.60","-$1,530.00","-$18,593.80","-$1,648.00","-$48,597.20",,,,,,,,,,,,,,,,,,,,,,
VoiceComm,,,,,,,,,-$714.00,,,,,-$714.00,,,,"-$1,428.00",,,,,,,,,,,,,,,,,,,,,,
WM,,"-$4,158.00","-$117,102.89","-$75,622.64","-$80,658.15","-$33,674.40","-$72,641.29","-$1,189,879.59","-$113,805.59",,,,,"-$44,024.63",,"-$47,766.63","-$69,882.91","-$1,849,216.72",,,,,,,,,,,,,,,,,,,,,,
Grand Total,"-$39,730.12","-$209,090.31","-$3,271,269.75","-$354,106.89","-$1,152,315.90","-$928,694.41","-$501,993.72","-$2,028,711.41","-$1,004,159.86","-$957,530.45","-$401,425.34","-$3,578,446.68","-$439,563.87","-$1,911,936.74","-$278,264.28","-$202,170.06","-$302,637.67","-$17,562,047.46",,,,,,,,,,,,,,,,,,,,,,